Driver type,Sex,Age group ,severity,year,result
Pedal cyclists,Female,All ages,FSC (unadjusted),2014,644
Pedal cyclists,Female,All ages,FSC (unadjusted),2015,595
Pedal cyclists,Female,All ages,FSC (unadjusted),2016,603
Pedal cyclists,Female,All ages,FSC (unadjusted),2017,692
Pedal cyclists,Female,All ages,FSC (unadjusted),2018,694
Pedal cyclists,Female,All ages,FSC (unadjusted),2019,716
Pedal cyclists,Female,All ages,FSC (unadjusted),2020,751
Pedal cyclists,Female,All ages,FSC (unadjusted),2021,776
Motorcycle riders,Female,Under 16,FSC (unadjusted),2012,0
Motorcycle riders,Female,Under 16,FSC (unadjusted),2013,2
Motorcycle riders,Female,Under 16,FSC (unadjusted),2014,1
Motorcycle riders,Female,Under 16,FSC (unadjusted),2015,0
Motorcycle riders,Female,Under 16,FSC (unadjusted),2016,1
Motorcycle riders,Female,Under 16,FSC (unadjusted),2017,2
Motorcycle riders,Female,Under 16,FSC (unadjusted),2018,1
Motorcycle riders,Female,Under 16,FSC (unadjusted),2019,0
Motorcycle riders,Female,Under 16,FSC (unadjusted),2020,2
Motorcycle riders,Female,Under 16,FSC (unadjusted),2021,1
Motorcycle riders,Female,16,FSC (unadjusted),2012,13
Motorcycle riders,Female,16,FSC (unadjusted),2013,12
Motorcycle riders,Female,16,FSC (unadjusted),2014,10
Motorcycle riders,Female,16,FSC (unadjusted),2015,12
Motorcycle riders,Female,16,FSC (unadjusted),2016,16
Motorcycle riders,Female,16,FSC (unadjusted),2017,7
Motorcycle riders,Female,16,FSC (unadjusted),2018,7
Motorcycle riders,Female,16,FSC (unadjusted),2019,6
Motorcycle riders,Female,16,FSC (unadjusted),2020,1
Motorcycle riders,Female,16,FSC (unadjusted),2021,2
Motorcycle riders,Female,17-20,FSC (unadjusted),2012,34
Motorcycle riders,Female,17-20,FSC (unadjusted),2013,48
Motorcycle riders,Female,17-20,FSC (unadjusted),2014,41
Motorcycle riders,Female,17-20,FSC (unadjusted),2015,45
Motorcycle riders,Female,17-20,FSC (unadjusted),2016,53
Motorcycle riders,Female,17-20,FSC (unadjusted),2017,51
Motorcycle riders,Female,17-20,FSC (unadjusted),2018,37
Motorcycle riders,Female,17-20,FSC (unadjusted),2019,41
Motorcycle riders,Female,17-20,FSC (unadjusted),2020,15
Motorcycle riders,Female,17-20,FSC (unadjusted),2021,37
Motorcycle riders,Female,21-24,FSC (unadjusted),2012,32
Motorcycle riders,Female,21-24,FSC (unadjusted),2013,42
Motorcycle riders,Female,21-24,FSC (unadjusted),2014,41
Motorcycle riders,Female,21-24,FSC (unadjusted),2015,40
Motorcycle riders,Female,21-24,FSC (unadjusted),2016,55
Motorcycle riders,Female,21-24,FSC (unadjusted),2017,48
Motorcycle riders,Female,21-24,FSC (unadjusted),2018,42
Motorcycle riders,Female,21-24,FSC (unadjusted),2019,26
Motorcycle riders,Female,21-24,FSC (unadjusted),2020,25
Motorcycle riders,Female,21-24,FSC (unadjusted),2021,30
Motorcycle riders,Female,25-29,FSC (unadjusted),2012,34
Motorcycle riders,Female,25-29,FSC (unadjusted),2013,33
Motorcycle riders,Female,25-29,FSC (unadjusted),2014,43
Motorcycle riders,Female,25-29,FSC (unadjusted),2015,32
Motorcycle riders,Female,25-29,FSC (unadjusted),2016,35
Motorcycle riders,Female,25-29,FSC (unadjusted),2017,33
Motorcycle riders,Female,25-29,FSC (unadjusted),2018,37
Motorcycle riders,Female,25-29,FSC (unadjusted),2019,44
Motorcycle riders,Female,25-29,FSC (unadjusted),2020,36
Motorcycle riders,Female,25-29,FSC (unadjusted),2021,36
Motorcycle riders,Female,30-39,FSC (unadjusted),2012,72
Motorcycle riders,Female,30-39,FSC (unadjusted),2013,59
Motorcycle riders,Female,30-39,FSC (unadjusted),2014,60
Motorcycle riders,Female,30-39,FSC (unadjusted),2015,51
Motorcycle riders,Female,30-39,FSC (unadjusted),2016,48
Motorcycle riders,Female,30-39,FSC (unadjusted),2017,62
Motorcycle riders,Female,30-39,FSC (unadjusted),2018,59
Motorcycle riders,Female,30-39,FSC (unadjusted),2019,63
Motorcycle riders,Female,30-39,FSC (unadjusted),2020,54
Motorcycle riders,Female,30-39,FSC (unadjusted),2021,59
Motorcycle riders,Female,40-49,FSC (unadjusted),2012,81
Motorcycle riders,Female,40-49,FSC (unadjusted),2013,85
Motorcycle riders,Female,40-49,FSC (unadjusted),2014,64
Motorcycle riders,Female,40-49,FSC (unadjusted),2015,56
Motorcycle riders,Female,40-49,FSC (unadjusted),2016,56
Motorcycle riders,Female,40-49,FSC (unadjusted),2017,64
Motorcycle riders,Female,40-49,FSC (unadjusted),2018,59
Motorcycle riders,Female,40-49,FSC (unadjusted),2019,52
Motorcycle riders,Female,40-49,FSC (unadjusted),2020,40
Motorcycle riders,Female,40-49,FSC (unadjusted),2021,59
Motorcycle riders,Female,50-59,FSC (unadjusted),2012,35
Motorcycle riders,Female,50-59,FSC (unadjusted),2013,30
Motorcycle riders,Female,50-59,FSC (unadjusted),2014,66
Motorcycle riders,Female,50-59,FSC (unadjusted),2015,52
Motorcycle riders,Female,50-59,FSC (unadjusted),2016,47
Motorcycle riders,Female,50-59,FSC (unadjusted),2017,56
Motorcycle riders,Female,50-59,FSC (unadjusted),2018,59
Motorcycle riders,Female,50-59,FSC (unadjusted),2019,73
Motorcycle riders,Female,50-59,FSC (unadjusted),2020,46
Motorcycle riders,Female,50-59,FSC (unadjusted),2021,54
Motorcycle riders,Female,60-69,FSC (unadjusted),2012,14
Motorcycle riders,Female,60-69,FSC (unadjusted),2013,9
Motorcycle riders,Female,60-69,FSC (unadjusted),2014,6
Motorcycle riders,Female,60-69,FSC (unadjusted),2015,7
Motorcycle riders,Female,60-69,FSC (unadjusted),2016,11
Motorcycle riders,Female,60-69,FSC (unadjusted),2017,14
Motorcycle riders,Female,60-69,FSC (unadjusted),2018,13
Motorcycle riders,Female,60-69,FSC (unadjusted),2019,5
Motorcycle riders,Female,60-69,FSC (unadjusted),2020,15
Motorcycle riders,Female,60-69,FSC (unadjusted),2021,17
Motorcycle riders,Female,70 and over,FSC (unadjusted),2012,3
Motorcycle riders,Female,70 and over,FSC (unadjusted),2013,2
Motorcycle riders,Female,70 and over,FSC (unadjusted),2014,1
Motorcycle riders,Female,70 and over,FSC (unadjusted),2015,2
Motorcycle riders,Female,70 and over,FSC (unadjusted),2016,4
Motorcycle riders,Female,70 and over,FSC (unadjusted),2017,4
Motorcycle riders,Female,70 and over,FSC (unadjusted),2018,3
Motorcycle riders,Female,70 and over,FSC (unadjusted),2019,4
Motorcycle riders,Female,70 and over,FSC (unadjusted),2020,1
Motorcycle riders,Female,70 and over,FSC (unadjusted),2021,2
Motorcycle riders,Female,All ages,FSC (unadjusted),2012,321
Motorcycle riders,Female,All ages,FSC (unadjusted),2013,324
Motorcycle riders,Female,All ages,FSC (unadjusted),2014,333
Motorcycle riders,Female,All ages,FSC (unadjusted),2015,301
Motorcycle riders,Female,All ages,FSC (unadjusted),2016,330
Motorcycle riders,Female,All ages,FSC (unadjusted),2017,343
Motorcycle riders,Female,All ages,FSC (unadjusted),2018,321
Motorcycle riders,Female,All ages,FSC (unadjusted),2019,314
Motorcycle riders,Female,All ages,FSC (unadjusted),2020,238
