Driver type,Sex,Age group ,severity,year,result
Other or unknown vehicle drivers,Female,70 and over,FSC (unadjusted),2016,19
Other or unknown vehicle drivers,Female,70 and over,FSC (unadjusted),2017,18
Other or unknown vehicle drivers,Female,70 and over,FSC (unadjusted),2018,22
Other or unknown vehicle drivers,Female,70 and over,FSC (unadjusted),2019,17
Other or unknown vehicle drivers,Female,70 and over,FSC (unadjusted),2020,6
Other or unknown vehicle drivers,Female,70 and over,FSC (unadjusted),2021,15
Other or unknown vehicle drivers,Female,All ages,FSC (unadjusted),2012,88
Other or unknown vehicle drivers,Female,All ages,FSC (unadjusted),2013,92
Other or unknown vehicle drivers,Female,All ages,FSC (unadjusted),2014,86
Other or unknown vehicle drivers,Female,All ages,FSC (unadjusted),2015,65
Other or unknown vehicle drivers,Female,All ages,FSC (unadjusted),2016,80
Other or unknown vehicle drivers,Female,All ages,FSC (unadjusted),2017,85
Other or unknown vehicle drivers,Female,All ages,FSC (unadjusted),2018,103
Other or unknown vehicle drivers,Female,All ages,FSC (unadjusted),2019,92
Other or unknown vehicle drivers,Female,All ages,FSC (unadjusted),2020,91
Other or unknown vehicle drivers,Female,All ages,FSC (unadjusted),2021,127
All drivers and riders,Female,Under 16,FSC (unadjusted),2012,52
All drivers and riders,Female,Under 16,FSC (unadjusted),2013,45
All drivers and riders,Female,Under 16,FSC (unadjusted),2014,43
All drivers and riders,Female,Under 16,FSC (unadjusted),2015,40
All drivers and riders,Female,Under 16,FSC (unadjusted),2016,45
All drivers and riders,Female,Under 16,FSC (unadjusted),2017,55
All drivers and riders,Female,Under 16,FSC (unadjusted),2018,33
All drivers and riders,Female,Under 16,FSC (unadjusted),2019,50
All drivers and riders,Female,Under 16,FSC (unadjusted),2020,43
All drivers and riders,Female,Under 16,FSC (unadjusted),2021,65
All drivers and riders,Female,16,FSC (unadjusted),2012,18
All drivers and riders,Female,16,FSC (unadjusted),2013,20
All drivers and riders,Female,16,FSC (unadjusted),2014,23
All drivers and riders,Female,16,FSC (unadjusted),2015,17
All drivers and riders,Female,16,FSC (unadjusted),2016,25
All drivers and riders,Female,16,FSC (unadjusted),2017,14
All drivers and riders,Female,16,FSC (unadjusted),2018,15
All drivers and riders,Female,16,FSC (unadjusted),2019,13
All drivers and riders,Female,16,FSC (unadjusted),2020,11
All drivers and riders,Female,16,FSC (unadjusted),2021,10
All drivers and riders,Female,17-20,FSC (unadjusted),2012,654
All drivers and riders,Female,17-20,FSC (unadjusted),2013,651
All drivers and riders,Female,17-20,FSC (unadjusted),2014,569
All drivers and riders,Female,17-20,FSC (unadjusted),2015,511
All drivers and riders,Female,17-20,FSC (unadjusted),2016,599
All drivers and riders,Female,17-20,FSC (unadjusted),2017,600
All drivers and riders,Female,17-20,FSC (unadjusted),2018,616
All drivers and riders,Female,17-20,FSC (unadjusted),2019,609
All drivers and riders,Female,17-20,FSC (unadjusted),2020,471
All drivers and riders,Female,17-20,FSC (unadjusted),2021,502
All drivers and riders,Female,21-24,FSC (unadjusted),2012,793
All drivers and riders,Female,21-24,FSC (unadjusted),2013,740
All drivers and riders,Female,21-24,FSC (unadjusted),2014,767
All drivers and riders,Female,21-24,FSC (unadjusted),2015,737
All drivers and riders,Female,21-24,FSC (unadjusted),2016,806
All drivers and riders,Female,21-24,FSC (unadjusted),2017,796
All drivers and riders,Female,21-24,FSC (unadjusted),2018,778
All drivers and riders,Female,21-24,FSC (unadjusted),2019,790
All drivers and riders,Female,21-24,FSC (unadjusted),2020,638
All drivers and riders,Female,21-24,FSC (unadjusted),2021,807
All drivers and riders,Female,25-29,FSC (unadjusted),2012,909
All drivers and riders,Female,25-29,FSC (unadjusted),2013,896
All drivers and riders,Female,25-29,FSC (unadjusted),2014,903
All drivers and riders,Female,25-29,FSC (unadjusted),2015,913
All drivers and riders,Female,25-29,FSC (unadjusted),2016,973
All drivers and riders,Female,25-29,FSC (unadjusted),2017,1008
All drivers and riders,Female,25-29,FSC (unadjusted),2018,1066
All drivers and riders,Female,25-29,FSC (unadjusted),2019,1096
All drivers and riders,Female,25-29,FSC (unadjusted),2020,865
All drivers and riders,Female,25-29,FSC (unadjusted),2021,944
All drivers and riders,Female,30-39,FSC (unadjusted),2012,1684
All drivers and riders,Female,30-39,FSC (unadjusted),2013,1517
All drivers and riders,Female,30-39,FSC (unadjusted),2014,1665
All drivers and riders,Female,30-39,FSC (unadjusted),2015,1493
All drivers and riders,Female,30-39,FSC (unadjusted),2016,1732
All drivers and riders,Female,30-39,FSC (unadjusted),2017,1746
All drivers and riders,Female,30-39,FSC (unadjusted),2018,1915
All drivers and riders,Female,30-39,FSC (unadjusted),2019,1997
All drivers and riders,Female,30-39,FSC (unadjusted),2020,1432
All drivers and riders,Female,30-39,FSC (unadjusted),2021,1842
All drivers and riders,Female,40-49,FSC (unadjusted),2012,1719
All drivers and riders,Female,40-49,FSC (unadjusted),2013,1558
All drivers and riders,Female,40-49,FSC (unadjusted),2014,1645
All drivers and riders,Female,40-49,FSC (unadjusted),2015,1583
All drivers and riders,Female,40-49,FSC (unadjusted),2016,1592
All drivers and riders,Female,40-49,FSC (unadjusted),2017,1637
All drivers and riders,Female,40-49,FSC (unadjusted),2018,1631
All drivers and riders,Female,40-49,FSC (unadjusted),2019,1655
All drivers and riders,Female,40-49,FSC (unadjusted),2020,1217
All drivers and riders,Female,40-49,FSC (unadjusted),2021,1484
All drivers and riders,Female,50-59,FSC (unadjusted),2012,1226
All drivers and riders,Female,50-59,FSC (unadjusted),2013,1116
All drivers and riders,Female,50-59,FSC (unadjusted),2014,1321
All drivers and riders,Female,50-59,FSC (unadjusted),2015,1273
All drivers and riders,Female,50-59,FSC (unadjusted),2016,1404
All drivers and riders,Female,50-59,FSC (unadjusted),2017,1423
All drivers and riders,Female,50-59,FSC (unadjusted),2018,1594
All drivers and riders,Female,50-59,FSC (unadjusted),2019,1591
All drivers and riders,Female,50-59,FSC (unadjusted),2020,1210
All drivers and riders,Female,50-59,FSC (unadjusted),2021,1407
All drivers and riders,Female,60-69,FSC (unadjusted),2012,747
All drivers and riders,Female,60-69,FSC (unadjusted),2013,680
All drivers and riders,Female,60-69,FSC (unadjusted),2014,771
All drivers and riders,Female,60-69,FSC (unadjusted),2015,680
All drivers and riders,Female,60-69,FSC (unadjusted),2016,807
All drivers and riders,Female,60-69,FSC (unadjusted),2017,773
All drivers and riders,Female,60-69,FSC (unadjusted),2018,886
All drivers and riders,Female,60-69,FSC (unadjusted),2019,891
All drivers and riders,Female,60-69,FSC (unadjusted),2020,681
All drivers and riders,Female,60-69,FSC (unadjusted),2021,769
All drivers and riders,Female,70 and over,FSC (unadjusted),2012,627
All drivers and riders,Female,70 and over,FSC (unadjusted),2013,656
All drivers and riders,Female,70 and over,FSC (unadjusted),2014,760
All drivers and riders,Female,70 and over,FSC (unadjusted),2015,698
All drivers and riders,Female,70 and over,FSC (unadjusted),2016,799
All drivers and riders,Female,70 and over,FSC (unadjusted),2017,858
All drivers and riders,Female,70 and over,FSC (unadjusted),2018,936
All drivers and riders,Female,70 and over,FSC (unadjusted),2019,964
All drivers and riders,Female,70 and over,FSC (unadjusted),2020,570
All drivers and riders,Female,70 and over,FSC (unadjusted),2021,724
All drivers and riders,Female,All ages,FSC (unadjusted),2012,8649
All drivers and riders,Female,All ages,FSC (unadjusted),2013,8101
All drivers and riders,Female,All ages,FSC (unadjusted),2014,8695
All drivers and riders,Female,All ages,FSC (unadjusted),2015,8175
All drivers and riders,Female,All ages,FSC (unadjusted),2016,8999
All drivers and riders,Female,All ages,FSC (unadjusted),2017,9084
All drivers and riders,Female,All ages,FSC (unadjusted),2018,9632
All drivers and riders,Female,All ages,FSC (unadjusted),2019,9853
All drivers and riders,Female,All ages,FSC (unadjusted),2020,7270
All drivers and riders,Female,All ages,FSC (unadjusted),2021,8722
Pedal cyclists,Male,Under 16,FSC (unadjusted),2012,277
Pedal cyclists,Male,Under 16,FSC (unadjusted),2013,246
Pedal cyclists,Male,Under 16,FSC (unadjusted),2014,253
Pedal cyclists,Male,Under 16,FSC (unadjusted),2015,248
Pedal cyclists,Male,Under 16,FSC (unadjusted),2016,284
Pedal cyclists,Male,Under 16,FSC (unadjusted),2017,329
Pedal cyclists,Male,Under 16,FSC (unadjusted),2018,313
Pedal cyclists,Male,Under 16,FSC (unadjusted),2019,346
Pedal cyclists,Male,Under 16,FSC (unadjusted),2020,301
Pedal cyclists,Male,Under 16,FSC (unadjusted),2021,294
Pedal cyclists,Male,16,FSC (unadjusted),2012,49
Pedal cyclists,Male,16,FSC (unadjusted),2013,49
Pedal cyclists,Male,16,FSC (unadjusted),2014,54
Pedal cyclists,Male,16,FSC (unadjusted),2015,46
Pedal cyclists,Male,16,FSC (unadjusted),2016,45
Pedal cyclists,Male,16,FSC (unadjusted),2017,52
Pedal cyclists,Male,16,FSC (unadjusted),2018,54
Pedal cyclists,Male,16,FSC (unadjusted),2019,50
Pedal cyclists,Male,16,FSC (unadjusted),2020,53
Pedal cyclists,Male,16,FSC (unadjusted),2021,54
Pedal cyclists,Male,17-20,FSC (unadjusted),2012,210
Pedal cyclists,Male,17-20,FSC (unadjusted),2013,169
Pedal cyclists,Male,17-20,FSC (unadjusted),2014,170
Pedal cyclists,Male,17-20,FSC (unadjusted),2015,155
Pedal cyclists,Male,17-20,FSC (unadjusted),2016,174
Pedal cyclists,Male,17-20,FSC (unadjusted),2017,168
Pedal cyclists,Male,17-20,FSC (unadjusted),2018,180
Pedal cyclists,Male,17-20,FSC (unadjusted),2019,167
Pedal cyclists,Male,17-20,FSC (unadjusted),2020,175
Pedal cyclists,Male,17-20,FSC (unadjusted),2021,219
Pedal cyclists,Male,21-24,FSC (unadjusted),2012,219
Pedal cyclists,Male,21-24,FSC (unadjusted),2013,202
Pedal cyclists,Male,21-24,FSC (unadjusted),2014,204
Pedal cyclists,Male,21-24,FSC (unadjusted),2015,177
Pedal cyclists,Male,21-24,FSC (unadjusted),2016,195
Pedal cyclists,Male,21-24,FSC (unadjusted),2017,212
Pedal cyclists,Male,21-24,FSC (unadjusted),2018,181
Pedal cyclists,Male,21-24,FSC (unadjusted),2019,189
Pedal cyclists,Male,21-24,FSC (unadjusted),2020,183
Pedal cyclists,Male,21-24,FSC (unadjusted),2021,208
Pedal cyclists,Male,25-29,FSC (unadjusted),2012,265
Pedal cyclists,Male,25-29,FSC (unadjusted),2013,265
Pedal cyclists,Male,25-29,FSC (unadjusted),2014,299
Pedal cyclists,Male,25-29,FSC (unadjusted),2015,235
Pedal cyclists,Male,25-29,FSC (unadjusted),2016,270
Pedal cyclists,Male,25-29,FSC (unadjusted),2017,300
Pedal cyclists,Male,25-29,FSC (unadjusted),2018,282
Pedal cyclists,Male,25-29,FSC (unadjusted),2019,264
Pedal cyclists,Male,25-29,FSC (unadjusted),2020,280
Pedal cyclists,Male,25-29,FSC (unadjusted),2021,313
Pedal cyclists,Male,30-39,FSC (unadjusted),2012,579
Pedal cyclists,Male,30-39,FSC (unadjusted),2013,558
Pedal cyclists,Male,30-39,FSC (unadjusted),2014,555
Pedal cyclists,Male,30-39,FSC (unadjusted),2015,532
Pedal cyclists,Male,30-39,FSC (unadjusted),2016,561
Pedal cyclists,Male,30-39,FSC (unadjusted),2017,607
Pedal cyclists,Male,30-39,FSC (unadjusted),2018,636
Pedal cyclists,Male,30-39,FSC (unadjusted),2019,562
Pedal cyclists,Male,30-39,FSC (unadjusted),2020,529
Pedal cyclists,Male,30-39,FSC (unadjusted),2021,596
Pedal cyclists,Male,40-49,FSC (unadjusted),2012,604
Pedal cyclists,Male,40-49,FSC (unadjusted),2013,620
Pedal cyclists,Male,40-49,FSC (unadjusted),2014,725
Pedal cyclists,Male,40-49,FSC (unadjusted),2015,682
Pedal cyclists,Male,40-49,FSC (unadjusted),2016,626
Pedal cyclists,Male,40-49,FSC (unadjusted),2017,650
Pedal cyclists,Male,40-49,FSC (unadjusted),2018,641
Pedal cyclists,Male,40-49,FSC (unadjusted),2019,637
Pedal cyclists,Male,40-49,FSC (unadjusted),2020,626
Pedal cyclists,Male,40-49,FSC (unadjusted),2021,549
Pedal cyclists,Male,50-59,FSC (unadjusted),2012,365
Pedal cyclists,Male,50-59,FSC (unadjusted),2013,385
Pedal cyclists,Male,50-59,FSC (unadjusted),2014,475
Pedal cyclists,Male,50-59,FSC (unadjusted),2015,504
Pedal cyclists,Male,50-59,FSC (unadjusted),2016,530
Pedal cyclists,Male,50-59,FSC (unadjusted),2017,549
Pedal cyclists,Male,50-59,FSC (unadjusted),2018,546
Pedal cyclists,Male,50-59,FSC (unadjusted),2019,570
Pedal cyclists,Male,50-59,FSC (unadjusted),2020,647
Pedal cyclists,Male,50-59,FSC (unadjusted),2021,663
Pedal cyclists,Male,60-69,FSC (unadjusted),2012,176
Pedal cyclists,Male,60-69,FSC (unadjusted),2013,170
Pedal cyclists,Male,60-69,FSC (unadjusted),2014,214
Pedal cyclists,Male,60-69,FSC (unadjusted),2015,189
Pedal cyclists,Male,60-69,FSC (unadjusted),2016,220
Pedal cyclists,Male,60-69,FSC (unadjusted),2017,241
Pedal cyclists,Male,60-69,FSC (unadjusted),2018,272
Pedal cyclists,Male,60-69,FSC (unadjusted),2019,263
Pedal cyclists,Male,60-69,FSC (unadjusted),2020,347
Pedal cyclists,Male,60-69,FSC (unadjusted),2021,296
Pedal cyclists,Male,70 and over,FSC (unadjusted),2012,101
Pedal cyclists,Male,70 and over,FSC (unadjusted),2013,103
Pedal cyclists,Male,70 and over,FSC (unadjusted),2014,100
Pedal cyclists,Male,70 and over,FSC (unadjusted),2015,113
Pedal cyclists,Male,70 and over,FSC (unadjusted),2016,113
Pedal cyclists,Male,70 and over,FSC (unadjusted),2017,151
Pedal cyclists,Male,70 and over,FSC (unadjusted),2018,151
Pedal cyclists,Male,70 and over,FSC (unadjusted),2019,149
Pedal cyclists,Male,70 and over,FSC (unadjusted),2020,213
Pedal cyclists,Male,70 and over,FSC (unadjusted),2021,195
Pedal cyclists,Male,All ages,FSC (unadjusted),2012,2907
Pedal cyclists,Male,All ages,FSC (unadjusted),2013,2844
Pedal cyclists,Male,All ages,FSC (unadjusted),2014,3107
Pedal cyclists,Male,All ages,FSC (unadjusted),2015,2940
Pedal cyclists,Male,All ages,FSC (unadjusted),2016,3077
Pedal cyclists,Male,All ages,FSC (unadjusted),2017,3310
Pedal cyclists,Male,All ages,FSC (unadjusted),2018,3318
Pedal cyclists,Male,All ages,FSC (unadjusted),2019,3255
Pedal cyclists,Male,All ages,FSC (unadjusted),2020,3406
Pedal cyclists,Male,All ages,FSC (unadjusted),2021,3447
Motorcycle riders,Male,Under 16,FSC (unadjusted),2012,10
Motorcycle riders,Male,Under 16,FSC (unadjusted),2013,16
Motorcycle riders,Male,Under 16,FSC (unadjusted),2014,21
Motorcycle riders,Male,Under 16,FSC (unadjusted),2015,24
Motorcycle riders,Male,Under 16,FSC (unadjusted),2016,27
Motorcycle riders,Male,Under 16,FSC (unadjusted),2017,34
Motorcycle riders,Male,Under 16,FSC (unadjusted),2018,47
Motorcycle riders,Male,Under 16,FSC (unadjusted),2019,38
Motorcycle riders,Male,Under 16,FSC (unadjusted),2020,36
Motorcycle riders,Male,Under 16,FSC (unadjusted),2021,53
Motorcycle riders,Male,16,FSC (unadjusted),2012,185
Motorcycle riders,Male,16,FSC (unadjusted),2013,131
Motorcycle riders,Male,16,FSC (unadjusted),2014,127
Motorcycle riders,Male,16,FSC (unadjusted),2015,130
Motorcycle riders,Male,16,FSC (unadjusted),2016,127
Motorcycle riders,Male,16,FSC (unadjusted),2017,149
Motorcycle riders,Male,16,FSC (unadjusted),2018,106
Motorcycle riders,Male,16,FSC (unadjusted),2019,105
Motorcycle riders,Male,16,FSC (unadjusted),2020,89
Motorcycle riders,Male,16,FSC (unadjusted),2021,77
Motorcycle riders,Male,17-20,FSC (unadjusted),2012,882
Motorcycle riders,Male,17-20,FSC (unadjusted),2013,870
Motorcycle riders,Male,17-20,FSC (unadjusted),2014,808
Motorcycle riders,Male,17-20,FSC (unadjusted),2015,795
Motorcycle riders,Male,17-20,FSC (unadjusted),2016,793
Motorcycle riders,Male,17-20,FSC (unadjusted),2017,786
Motorcycle riders,Male,17-20,FSC (unadjusted),2018,718
Motorcycle riders,Male,17-20,FSC (unadjusted),2019,727
Motorcycle riders,Male,17-20,FSC (unadjusted),2020,540
Motorcycle riders,Male,17-20,FSC (unadjusted),2021,791
Motorcycle riders,Male,21-24,FSC (unadjusted),2012,606
Motorcycle riders,Male,21-24,FSC (unadjusted),2013,663
Motorcycle riders,Male,21-24,FSC (unadjusted),2014,725
Motorcycle riders,Male,21-24,FSC (unadjusted),2015,711
Motorcycle riders,Male,21-24,FSC (unadjusted),2016,780
Motorcycle riders,Male,21-24,FSC (unadjusted),2017,795
Motorcycle riders,Male,21-24,FSC (unadjusted),2018,685
Motorcycle riders,Male,21-24,FSC (unadjusted),2019,618
Motorcycle riders,Male,21-24,FSC (unadjusted),2020,473
Motorcycle riders,Male,21-24,FSC (unadjusted),2021,535
Motorcycle riders,Male,25-29,FSC (unadjusted),2012,511
Motorcycle riders,Male,25-29,FSC (unadjusted),2013,525
Motorcycle riders,Male,25-29,FSC (unadjusted),2014,669
Motorcycle riders,Male,25-29,FSC (unadjusted),2015,677
Motorcycle riders,Male,25-29,FSC (unadjusted),2016,759
Motorcycle riders,Male,25-29,FSC (unadjusted),2017,858
Motorcycle riders,Male,25-29,FSC (unadjusted),2018,811
Motorcycle riders,Male,25-29,FSC (unadjusted),2019,821
Motorcycle riders,Male,25-29,FSC (unadjusted),2020,598
Motorcycle riders,Male,25-29,FSC (unadjusted),2021,605
Motorcycle riders,Male,30-39,FSC (unadjusted),2012,872
Motorcycle riders,Male,30-39,FSC (unadjusted),2013,765
Motorcycle riders,Male,30-39,FSC (unadjusted),2014,917
Motorcycle riders,Male,30-39,FSC (unadjusted),2015,822
Motorcycle riders,Male,30-39,FSC (unadjusted),2016,962
Motorcycle riders,Male,30-39,FSC (unadjusted),2017,1051
Motorcycle riders,Male,30-39,FSC (unadjusted),2018,1102
Motorcycle riders,Male,30-39,FSC (unadjusted),2019,1026
Motorcycle riders,Male,30-39,FSC (unadjusted),2020,912
Motorcycle riders,Male,30-39,FSC (unadjusted),2021,985
Motorcycle riders,Male,40-49,FSC (unadjusted),2012,1048
Motorcycle riders,Male,40-49,FSC (unadjusted),2013,994
Motorcycle riders,Male,40-49,FSC (unadjusted),2014,973
Motorcycle riders,Male,40-49,FSC (unadjusted),2015,892
Motorcycle riders,Male,40-49,FSC (unadjusted),2016,920
Motorcycle riders,Male,40-49,FSC (unadjusted),2017,814
Motorcycle riders,Male,40-49,FSC (unadjusted),2018,833
Motorcycle riders,Male,40-49,FSC (unadjusted),2019,745
Motorcycle riders,Male,40-49,FSC (unadjusted),2020,557
Motorcycle riders,Male,40-49,FSC (unadjusted),2021,612
Motorcycle riders,Male,50-59,FSC (unadjusted),2012,718
Motorcycle riders,Male,50-59,FSC (unadjusted),2013,745
Motorcycle riders,Male,50-59,FSC (unadjusted),2014,844
Motorcycle riders,Male,50-59,FSC (unadjusted),2015,802
Motorcycle riders,Male,50-59,FSC (unadjusted),2016,893
Motorcycle riders,Male,50-59,FSC (unadjusted),2017,868
Motorcycle riders,Male,50-59,FSC (unadjusted),2018,939
Motorcycle riders,Male,50-59,FSC (unadjusted),2019,909
Motorcycle riders,Male,50-59,FSC (unadjusted),2020,683
Motorcycle riders,Male,50-59,FSC (unadjusted),2021,855
Motorcycle riders,Male,60-69,FSC (unadjusted),2012,277
Motorcycle riders,Male,60-69,FSC (unadjusted),2013,287
Motorcycle riders,Male,60-69,FSC (unadjusted),2014,293
Motorcycle riders,Male,60-69,FSC (unadjusted),2015,300
Motorcycle riders,Male,60-69,FSC (unadjusted),2016,331
Motorcycle riders,Male,60-69,FSC (unadjusted),2017,349
Motorcycle riders,Male,60-69,FSC (unadjusted),2018,382
Motorcycle riders,Male,60-69,FSC (unadjusted),2019,406
Motorcycle riders,Male,60-69,FSC (unadjusted),2020,331
Motorcycle riders,Male,60-69,FSC (unadjusted),2021,415
Motorcycle riders,Male,70 and over,FSC (unadjusted),2012,75
Motorcycle riders,Male,70 and over,FSC (unadjusted),2013,55
Motorcycle riders,Male,70 and over,FSC (unadjusted),2014,89
Motorcycle riders,Male,70 and over,FSC (unadjusted),2015,108
Motorcycle riders,Male,70 and over,FSC (unadjusted),2016,89
Motorcycle riders,Male,70 and over,FSC (unadjusted),2017,106
Motorcycle riders,Male,70 and over,FSC (unadjusted),2018,125
Motorcycle riders,Male,70 and over,FSC (unadjusted),2019,126
Motorcycle riders,Male,70 and over,FSC (unadjusted),2020,132
Motorcycle riders,Male,70 and over,FSC (unadjusted),2021,138
Motorcycle riders,Male,All ages,FSC (unadjusted),2012,5257
Motorcycle riders,Male,All ages,FSC (unadjusted),2013,5123
Motorcycle riders,Male,All ages,FSC (unadjusted),2014,5536
Motorcycle riders,Male,All ages,FSC (unadjusted),2015,5328
Motorcycle riders,Male,All ages,FSC (unadjusted),2016,5756
Motorcycle riders,Male,All ages,FSC (unadjusted),2017,5855
Motorcycle riders,Male,All ages,FSC (unadjusted),2018,5807
Motorcycle riders,Male,All ages,FSC (unadjusted),2019,5569
Motorcycle riders,Male,All ages,FSC (unadjusted),2020,4384
Motorcycle riders,Male,All ages,FSC (unadjusted),2021,5115
Car drivers,Male,Under 16,FSC (unadjusted),2012,3
Car drivers,Male,Under 16,FSC (unadjusted),2013,2
Car drivers,Male,Under 16,FSC (unadjusted),2014,3
Car drivers,Male,Under 16,FSC (unadjusted),2015,5
Car drivers,Male,Under 16,FSC (unadjusted),2016,5
Car drivers,Male,Under 16,FSC (unadjusted),2017,4
Car drivers,Male,Under 16,FSC (unadjusted),2018,9
Car drivers,Male,Under 16,FSC (unadjusted),2019,4
Car drivers,Male,Under 16,FSC (unadjusted),2020,10
Car drivers,Male,Under 16,FSC (unadjusted),2021,11
Car drivers,Male,16,FSC (unadjusted),2012,8
Car drivers,Male,16,FSC (unadjusted),2013,7
Car drivers,Male,16,FSC (unadjusted),2014,8
Car drivers,Male,16,FSC (unadjusted),2015,11
Car drivers,Male,16,FSC (unadjusted),2016,4
Car drivers,Male,16,FSC (unadjusted),2017,16
Car drivers,Male,16,FSC (unadjusted),2018,17
Car drivers,Male,16,FSC (unadjusted),2019,9
Car drivers,Male,16,FSC (unadjusted),2020,15
Car drivers,Male,16,FSC (unadjusted),2021,7
Car drivers,Male,17-20,FSC (unadjusted),2012,1182
Car drivers,Male,17-20,FSC (unadjusted),2013,1050
Car drivers,Male,17-20,FSC (unadjusted),2014,1061
Car drivers,Male,17-20,FSC (unadjusted),2015,1125
Car drivers,Male,17-20,FSC (unadjusted),2016,1139
Car drivers,Male,17-20,FSC (unadjusted),2017,1195
Car drivers,Male,17-20,FSC (unadjusted),2018,1218
Car drivers,Male,17-20,FSC (unadjusted),2019,1255
Car drivers,Male,17-20,FSC (unadjusted),2020,1029
Car drivers,Male,17-20,FSC (unadjusted),2021,1094
Car drivers,Male,21-24,FSC (unadjusted),2012,1470
Car drivers,Male,21-24,FSC (unadjusted),2013,1395
Car drivers,Male,21-24,FSC (unadjusted),2014,1430
Car drivers,Male,21-24,FSC (unadjusted),2015,1424
Car drivers,Male,21-24,FSC (unadjusted),2016,1490
Car drivers,Male,21-24,FSC (unadjusted),2017,1518
Car drivers,Male,21-24,FSC (unadjusted),2018,1427
Car drivers,Male,21-24,FSC (unadjusted),2019,1372
Car drivers,Male,21-24,FSC (unadjusted),2020,1186
Car drivers,Male,21-24,FSC (unadjusted),2021,1338
Car drivers,Male,25-29,FSC (unadjusted),2012,1619
Car drivers,Male,25-29,FSC (unadjusted),2013,1546
Car drivers,Male,25-29,FSC (unadjusted),2014,1623
Car drivers,Male,25-29,FSC (unadjusted),2015,1623
Car drivers,Male,25-29,FSC (unadjusted),2016,1813
Car drivers,Male,25-29,FSC (unadjusted),2017,1823
Car drivers,Male,25-29,FSC (unadjusted),2018,1877
Car drivers,Male,25-29,FSC (unadjusted),2019,1829
Car drivers,Male,25-29,FSC (unadjusted),2020,1512
Car drivers,Male,25-29,FSC (unadjusted),2021,1707
Car drivers,Male,30-39,FSC (unadjusted),2012,2711
Car drivers,Male,30-39,FSC (unadjusted),2013,2430
Car drivers,Male,30-39,FSC (unadjusted),2014,2565
Car drivers,Male,30-39,FSC (unadjusted),2015,2540
Car drivers,Male,30-39,FSC (unadjusted),2016,3048
Car drivers,Male,30-39,FSC (unadjusted),2017,3118
Car drivers,Male,30-39,FSC (unadjusted),2018,3190
Car drivers,Male,30-39,FSC (unadjusted),2019,3384
Car drivers,Male,30-39,FSC (unadjusted),2020,2577
Car drivers,Male,30-39,FSC (unadjusted),2021,3006
Car drivers,Male,40-49,FSC (unadjusted),2012,2657
Car drivers,Male,40-49,FSC (unadjusted),2013,2459
Car drivers,Male,40-49,FSC (unadjusted),2014,2531
Car drivers,Male,40-49,FSC (unadjusted),2015,2380
Car drivers,Male,40-49,FSC (unadjusted),2016,2487
Car drivers,Male,40-49,FSC (unadjusted),2017,2559
Car drivers,Male,40-49,FSC (unadjusted),2018,2693
Car drivers,Male,40-49,FSC (unadjusted),2019,2613
Car drivers,Male,40-49,FSC (unadjusted),2020,2019
Car drivers,Male,40-49,FSC (unadjusted),2021,2311
Car drivers,Male,50-59,FSC (unadjusted),2012,2073
Car drivers,Male,50-59,FSC (unadjusted),2013,1960
Car drivers,Male,50-59,FSC (unadjusted),2014,2040
Car drivers,Male,50-59,FSC (unadjusted),2015,1999
Car drivers,Male,50-59,FSC (unadjusted),2016,2124
Car drivers,Male,50-59,FSC (unadjusted),2017,2244
Car drivers,Male,50-59,FSC (unadjusted),2018,2361
Car drivers,Male,50-59,FSC (unadjusted),2019,2296
Car drivers,Male,50-59,FSC (unadjusted),2020,1792
Car drivers,Male,50-59,FSC (unadjusted),2021,2082
Car drivers,Male,60-69,FSC (unadjusted),2012,1360
Car drivers,Male,60-69,FSC (unadjusted),2013,1372
Car drivers,Male,60-69,FSC (unadjusted),2014,1488
Car drivers,Male,60-69,FSC (unadjusted),2015,1373
Car drivers,Male,60-69,FSC (unadjusted),2016,1427
Car drivers,Male,60-69,FSC (unadjusted),2017,1416
Car drivers,Male,60-69,FSC (unadjusted),2018,1541
Car drivers,Male,60-69,FSC (unadjusted),2019,1530
Car drivers,Male,60-69,FSC (unadjusted),2020,1142
Car drivers,Male,60-69,FSC (unadjusted),2021,1299
Car drivers,Male,70 and over,FSC (unadjusted),2012,1327
Car drivers,Male,70 and over,FSC (unadjusted),2013,1365
Car drivers,Male,70 and over,FSC (unadjusted),2014,1442
Car drivers,Male,70 and over,FSC (unadjusted),2015,1445
Car drivers,Male,70 and over,FSC (unadjusted),2016,1584
Car drivers,Male,70 and over,FSC (unadjusted),2017,1627
Car drivers,Male,70 and over,FSC (unadjusted),2018,1821
Car drivers,Male,70 and over,FSC (unadjusted),2019,1749
Car drivers,Male,70 and over,FSC (unadjusted),2020,1192
Car drivers,Male,70 and over,FSC (unadjusted),2021,1473
Car drivers,Male,All ages,FSC (unadjusted),2012,15041
Car drivers,Male,All ages,FSC (unadjusted),2013,14185
Car drivers,Male,All ages,FSC (unadjusted),2014,14779
Car drivers,Male,All ages,FSC (unadjusted),2015,14524
Car drivers,Male,All ages,FSC (unadjusted),2016,15751
Car drivers,Male,All ages,FSC (unadjusted),2017,16034
Car drivers,Male,All ages,FSC (unadjusted),2018,16703
Car drivers,Male,All ages,FSC (unadjusted),2019,16559
Car drivers,Male,All ages,FSC (unadjusted),2020,12878
Car drivers,Male,All ages,FSC (unadjusted),2021,14753
Bus or coach drivers,Male,Under 16,FSC (unadjusted),2012,0
