Driver type,Sex [note 1],"Age group [notes 2, 3]",Severity adjustment [note 4],2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Heavy goods vehicle drivers,Female,70 and over,FSC (unadjusted),0,0,0,0,0,0,0,0,0,0
Heavy goods vehicle drivers,Female,All ages,FSC (unadjusted),15,19,24,13,17,21,21,18,10,13
Other or unknown vehicle drivers,Female,Under 16,FSC (unadjusted),2,1,1,1,5,4,4,4,5,12
Other or unknown vehicle drivers,Female,16,FSC (unadjusted),1,1,1,0,0,1,0,2,2,3
Other or unknown vehicle drivers,Female,17-20,FSC (unadjusted),2,7,5,0,5,3,3,1,6,12
Other or unknown vehicle drivers,Female,21-24,FSC (unadjusted),2,3,2,3,3,6,5,7,9,13
Other or unknown vehicle drivers,Female,25-29,FSC (unadjusted),3,5,4,1,7,5,5,7,10,18
Other or unknown vehicle drivers,Female,30-39,FSC (unadjusted),18,16,10,9,6,9,12,11,17,22
Other or unknown vehicle drivers,Female,40-49,FSC (unadjusted),14,14,16,11,11,16,16,17,14,11
Other or unknown vehicle drivers,Female,50-59,FSC (unadjusted),4,11,15,8,9,10,21,11,17,13
Other or unknown vehicle drivers,Female,60-69,FSC (unadjusted),13,11,9,3,9,9,14,11,5,3
Other or unknown vehicle drivers,Female,70 and over,FSC (unadjusted),25,19,19,27,19,18,22,17,6,15
Other or unknown vehicle drivers,Female,All ages,FSC (unadjusted),88,92,86,65,80,85,103,92,91,127
All drivers and riders,Female,Under 16,FSC (unadjusted),52,45,43,40,45,55,33,50,43,65
All drivers and riders,Female,16,FSC (unadjusted),18,20,23,17,25,14,15,13,11,10
All drivers and riders,Female,17-20,FSC (unadjusted),654,651,569,511,599,600,616,609,471,502
All drivers and riders,Female,21-24,FSC (unadjusted),793,740,767,737,806,796,778,790,638,807
All drivers and riders,Female,25-29,FSC (unadjusted),909,896,903,913,973,"1,008","1,066","1,096",865,944
All drivers and riders,Female,30-39,FSC (unadjusted),"1,684","1,517","1,665","1,493","1,732","1,746","1,915","1,997","1,432","1,842"
All drivers and riders,Female,40-49,FSC (unadjusted),"1,719","1,558","1,645","1,583","1,592","1,637","1,631","1,655","1,217","1,484"
All drivers and riders,Female,50-59,FSC (unadjusted),"1,226","1,116","1,321","1,273","1,404","1,423","1,594","1,591","1,210","1,407"
All drivers and riders,Female,60-69,FSC (unadjusted),747,680,771,680,807,773,886,891,681,769
All drivers and riders,Female,70 and over,FSC (unadjusted),627,656,760,698,799,858,936,964,570,724
All drivers and riders,Female,All ages,FSC (unadjusted),"8,649","8,101","8,695","8,175","8,999","9,084","9,632","9,853","7,270","8,722"
Pedal cyclists,Male,Under 16,FSC (unadjusted),277,246,253,248,284,329,313,346,301,294
Pedal cyclists,Male,16,FSC (unadjusted),49,49,54,46,45,52,54,50,53,54
Pedal cyclists,Male,17-20,FSC (unadjusted),210,169,170,155,174,168,180,167,175,219
Pedal cyclists,Male,21-24,FSC (unadjusted),219,202,204,177,195,212,181,189,183,208
Pedal cyclists,Male,25-29,FSC (unadjusted),265,265,299,235,270,300,282,264,280,313
Pedal cyclists,Male,30-39,FSC (unadjusted),579,558,555,532,561,607,636,562,529,596
Pedal cyclists,Male,40-49,FSC (unadjusted),604,620,725,682,626,650,641,637,626,549
Pedal cyclists,Male,50-59,FSC (unadjusted),365,385,475,504,530,549,546,570,647,663
Pedal cyclists,Male,60-69,FSC (unadjusted),176,170,214,189,220,241,272,263,347,296
Pedal cyclists,Male,70 and over,FSC (unadjusted),101,103,100,113,113,151,151,149,213,195
Pedal cyclists,Male,All ages,FSC (unadjusted),"2,907","2,844","3,107","2,940","3,077","3,310","3,318","3,255","3,406","3,447"
Motorcycle riders,Male,Under 16,FSC (unadjusted),10,16,21,24,27,34,47,38,36,53
Motorcycle riders,Male,16,FSC (unadjusted),185,131,127,130,127,149,106,105,89,77
Motorcycle riders,Male,17-20,FSC (unadjusted),882,870,808,795,793,786,718,727,540,791
Motorcycle riders,Male,21-24,FSC (unadjusted),606,663,725,711,780,795,685,618,473,535
Motorcycle riders,Male,25-29,FSC (unadjusted),511,525,669,677,759,858,811,821,598,605
Motorcycle riders,Male,30-39,FSC (unadjusted),872,765,917,822,962,"1,051","1,102","1,026",912,985
Motorcycle riders,Male,40-49,FSC (unadjusted),"1,048",994,973,892,920,814,833,745,557,612
Motorcycle riders,Male,50-59,FSC (unadjusted),718,745,844,802,893,868,939,909,683,855
Motorcycle riders,Male,60-69,FSC (unadjusted),277,287,293,300,331,349,382,406,331,415
Motorcycle riders,Male,70 and over,FSC (unadjusted),75,55,89,108,89,106,125,126,132,138
Motorcycle riders,Male,All ages,FSC (unadjusted),"5,257","5,123","5,536","5,328","5,756","5,855","5,807","5,569","4,384","5,115"
Car drivers,Male,Under 16,FSC (unadjusted),3,2,3,5,5,4,9,4,10,11
Car drivers,Male,16,FSC (unadjusted),8,7,8,11,4,16,17,9,15,7
Car drivers,Male,17-20,FSC (unadjusted),"1,182","1,050","1,061","1,125","1,139","1,195","1,218","1,255","1,029","1,094"
Car drivers,Male,21-24,FSC (unadjusted),"1,470","1,395","1,430","1,424","1,490","1,518","1,427","1,372","1,186","1,338"
Car drivers,Male,25-29,FSC (unadjusted),"1,619","1,546","1,623","1,623","1,813","1,823","1,877","1,829","1,512","1,707"
Car drivers,Male,30-39,FSC (unadjusted),"2,711","2,430","2,565","2,540","3,048","3,118","3,190","3,384","2,577","3,006"
Car drivers,Male,40-49,FSC (unadjusted),"2,657","2,459","2,531","2,380","2,487","2,559","2,693","2,613","2,019","2,311"
Car drivers,Male,50-59,FSC (unadjusted),"2,073","1,960","2,040","1,999","2,124","2,244","2,361","2,296","1,792","2,082"
Car drivers,Male,60-69,FSC (unadjusted),"1,360","1,372","1,488","1,373","1,427","1,416","1,541","1,530","1,142","1,299"
Car drivers,Male,70 and over,FSC (unadjusted),"1,327","1,365","1,442","1,445","1,584","1,627","1,821","1,749","1,192","1,473"
Car drivers,Male,All ages,FSC (unadjusted),"15,041","14,185","14,779","14,524","15,751","16,034","16,703","16,559","12,878","14,753"
Bus or coach drivers,Male,Under 16,FSC (unadjusted),0,0,0,0,0,0,0,0,0,0
Bus or coach drivers,Male,16,FSC (unadjusted),0,0,0,0,0,0,0,0,0,0
Bus or coach drivers,Male,17-20,FSC (unadjusted),4,2,3,2,4,5,5,6,2,2
Bus or coach drivers,Male,21-24,FSC (unadjusted),16,14,11,18,20,14,20,15,11,12
Bus or coach drivers,Male,25-29,FSC (unadjusted),46,40,31,32,39,45,47,40,16,21
Bus or coach drivers,Male,30-39,FSC (unadjusted),139,124,109,98,114,124,125,106,65,81
Bus or coach drivers,Male,40-49,FSC (unadjusted),211,192,174,143,112,167,158,158,89,87
Bus or coach drivers,Male,50-59,FSC (unadjusted),191,177,212,186,192,203,195,218,114,151
Bus or coach drivers,Male,60-69,FSC (unadjusted),107,90,94,82,85,86,97,84,57,78
Bus or coach drivers,Male,70 and over,FSC (unadjusted),7,5,10,10,8,9,12,13,9,11
Bus or coach drivers,Male,All ages,FSC (unadjusted),759,675,673,602,602,672,683,652,375,450
Light goods vehicle drivers,Male,Under 16,FSC (unadjusted),0,1,0,1,0,0,0,0,0,1
Light goods vehicle drivers,Male,16,FSC (unadjusted),1,0,0,0,0,2,0,0,1,0
Light goods vehicle drivers,Male,17-20,FSC (unadjusted),39,41,33,43,37,32,37,53,36,38
Light goods vehicle drivers,Male,21-24,FSC (unadjusted),133,119,104,115,130,116,128,115,113,150
Light goods vehicle drivers,Male,25-29,FSC (unadjusted),192,162,214,260,225,239,257,257,207,233
Light goods vehicle drivers,Male,30-39,FSC (unadjusted),348,333,378,356,427,469,528,557,482,580
Light goods vehicle drivers,Male,40-49,FSC (unadjusted),376,363,410,371,429,395,428,466,344,447
Light goods vehicle drivers,Male,50-59,FSC (unadjusted),253,274,290,297,303,349,393,411,327,436
Light goods vehicle drivers,Male,60-69,FSC (unadjusted),128,125,123,109,137,142,141,169,170,174
Light goods vehicle drivers,Male,70 and over,FSC (unadjusted),13,27,16,31,28,49,42,52,31,57
Light goods vehicle drivers,Male,All ages,FSC (unadjusted),"1,581","1,520","1,655","1,678","1,781","1,848","2,012","2,136","1,772","2,176"
Heavy goods vehicle drivers,Male,Under 16,FSC (unadjusted),0,0,0,0,0,0,0,0,0,0
Heavy goods vehicle drivers,Male,16,FSC (unadjusted),0,0,0,0,0,0,0,0,0,0
Heavy goods vehicle drivers,Male,17-20,FSC (unadjusted),5,11,4,8,10,3,10,3,5,7
Heavy goods vehicle drivers,Male,21-24,FSC (unadjusted),24,28,30,37,28,31,23,26,16,22
Heavy goods vehicle drivers,Male,25-29,FSC (unadjusted),64,64,74,78,79,103,90,70,58,52
Heavy goods vehicle drivers,Male,30-39,FSC (unadjusted),222,213,208,215,198,222,228,211,172,185
Heavy goods vehicle drivers,Male,40-49,FSC (unadjusted),408,359,355,368,305,296,274,269,199,206
Heavy goods vehicle drivers,Male,50-59,FSC (unadjusted),319,350,301,341,350,315,325,300,277,304
Heavy goods vehicle drivers,Male,60-69,FSC (unadjusted),130,121,166,142,140,116,136,124,111,126
Heavy goods vehicle drivers,Male,70 and over,FSC (unadjusted),10,13,10,9,11,14,12,19,8,8
Heavy goods vehicle drivers,Male,All ages,FSC (unadjusted),"1,211","1,188","1,173","1,223","1,156","1,120","1,124","1,042",862,928
Other or unknown vehicle drivers,Male,Under 16,FSC (unadjusted),11,4,12,7,7,10,9,10,20,57
Other or unknown vehicle drivers,Male,16,FSC (unadjusted),4,2,5,2,3,5,2,4,9,8
Other or unknown vehicle drivers,Male,17-20,FSC (unadjusted),27,26,23,25,20,21,20,20,42,75
Other or unknown vehicle drivers,Male,21-24,FSC (unadjusted),26,24,24,25,38,45,39,40,48,63
Other or unknown vehicle drivers,Male,25-29,FSC (unadjusted),32,36,39,46,45,54,69,47,56,89
Other or unknown vehicle drivers,Male,30-39,FSC (unadjusted),67,62,58,63,97,120,99,90,116,174
Other or unknown vehicle drivers,Male,40-49,FSC (unadjusted),82,70,53,65,100,119,96,84,76,92
Other or unknown vehicle drivers,Male,50-59,FSC (unadjusted),57,48,79,70,107,83,97,103,80,101
Other or unknown vehicle drivers,Male,60-69,FSC (unadjusted),47,39,27,41,44,56,61,54,42,50
Other or unknown vehicle drivers,Male,70 and over,FSC (unadjusted),37,37,48,50,48,40,61,40,40,40
Other or unknown vehicle drivers,Male,All ages,FSC (unadjusted),407,360,386,417,532,585,580,519,553,785
All drivers and riders,Male,Under 16,FSC (unadjusted),301,269,289,285,323,377,378,398,367,416
All drivers and riders,Male,16,FSC (unadjusted),247,189,194,189,179,224,179,168,167,146
All drivers and riders,Male,17-20,FSC (unadjusted),"2,349","2,169","2,102","2,153","2,177","2,210","2,188","2,231","1,829","2,226"
All drivers and riders,Male,21-24,FSC (unadjusted),"2,494","2,445","2,528","2,507","2,681","2,731","2,503","2,375","2,030","2,328"
All drivers and riders,Male,25-29,FSC (unadjusted),"2,729","2,638","2,949","2,951","3,230","3,422","3,433","3,328","2,727","3,020"
All drivers and riders,Male,30-39,FSC (unadjusted),"4,938","4,485","4,790","4,626","5,407","5,711","5,908","5,936","4,853","5,607"
All drivers and riders,Male,40-49,FSC (unadjusted),"5,386","5,057","5,221","4,901","4,979","5,000","5,123","4,972","3,910","4,304"
All drivers and riders,Male,50-59,FSC (unadjusted),"3,976","3,939","4,241","4,199","4,499","4,611","4,856","4,807","3,920","4,592"
All drivers and riders,Male,60-69,FSC (unadjusted),"2,225","2,204","2,405","2,236","2,384","2,406","2,630","2,630","2,200","2,438"
All drivers and riders,Male,70 and over,FSC (unadjusted),"1,570","1,605","1,715","1,766","1,881","1,996","2,224","2,148","1,625","1,922"
All drivers and riders,Male,All ages,FSC (unadjusted),"27,163","25,895","27,309","26,712","28,655","29,424","30,227","29,732","24,230","27,654"
Pedal cyclists,All,Under 16,FSC (unadjusted),325,288,293,287,322,377,341,390,336,345
Pedal cyclists,All,16,FSC (unadjusted),53,56,65,50,51,57,59,55,60,59
Pedal cyclists,All,17-20,FSC (unadjusted),243,201,199,182,193,196,208,200,206,240
Pedal cyclists,All,21-24,FSC (unadjusted),255,246,261,221,241,257,231,229,234,260
Pedal cyclists,All,25-29,FSC (unadjusted),358,351,368,306,335,374,378,350,381,415
Pedal cyclists,All,30-39,FSC (unadjusted),704,681,688,639,677,757,772,712,660,736
Pedal cyclists,All,40-49,FSC (unadjusted),716,734,853,809,751,780,767,771,756,684
Pedal cyclists,All,50-59,FSC (unadjusted),460,480,579,605,656,686,698,711,800,820
Pedal cyclists,All,60-69,FSC (unadjusted),210,200,261,228,262,298,318,324,427,378
Pedal cyclists,All,70 and over,FSC (unadjusted),117,119,119,142,127,168,178,172,247,229
Pedal cyclists,All,All ages,FSC (unadjusted),"3,527","3,463","3,772","3,562","3,711","4,045","4,055","4,023","4,201","4,281"
Motorcycle riders,All,Under 16,FSC (unadjusted),10,18,22,24,28,36,48,38,38,54
Motorcycle riders,All,16,FSC (unadjusted),198,143,137,142,143,156,113,111,91,79
Motorcycle riders,All,17-20,FSC (unadjusted),916,918,851,840,846,841,756,771,560,831
Motorcycle riders,All,21-24,FSC (unadjusted),638,705,767,752,835,844,727,644,499,567
Motorcycle riders,All,25-29,FSC (unadjusted),546,558,713,709,794,892,851,865,636,643
Motorcycle riders,All,30-39,FSC (unadjusted),946,824,977,875,"1,015","1,118","1,166","1,093",971,"1,052"
Motorcycle riders,All,40-49,FSC (unadjusted),"1,129","1,079","1,037",949,976,879,894,798,597,675
Motorcycle riders,All,50-59,FSC (unadjusted),753,775,910,855,941,925,998,982,729,911
Motorcycle riders,All,60-69,FSC (unadjusted),291,296,299,307,342,363,395,412,346,433
Motorcycle riders,All,70 and over,FSC (unadjusted),78,57,90,110,93,110,128,131,133,140
Motorcycle riders,All,All ages,FSC (unadjusted),"5,628","5,482","5,926","5,699","6,144","6,319","6,237","6,006","4,727","5,541"
Car drivers,All,Under 16,FSC (unadjusted),5,2,3,5,6,5,9,6,11,12
Car drivers,All,16,FSC (unadjusted),8,8,9,12,7,22,25,14,18,10
Car drivers,All,17-20,FSC (unadjusted),"1,769","1,616","1,557","1,572","1,670","1,733","1,790","1,810","1,471","1,545"
Car drivers,All,21-24,FSC (unadjusted),"2,192","2,045","2,094","2,074","2,203","2,221","2,114","2,089","1,744","2,068"
Car drivers,All,25-29,FSC (unadjusted),"2,396","2,320","2,408","2,434","2,680","2,721","2,826","2,802","2,231","2,504"
Car drivers,All,30-39,FSC (unadjusted),"4,207","3,767","4,038","3,888","4,657","4,712","4,971","5,224","3,875","4,762"
