driverType,Sex,ageGroup,Severity,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Other or unknown vehicle drivers,Female,21-24,All collisions,25,25,17,24,23,26,28,21,30,54
Other or unknown vehicle drivers,Female,25-29,All collisions,27,23,16,17,24,40,34,27,43,70
Other or unknown vehicle drivers,Female,30-39,All collisions,70,58,44,48,55,64,61,44,55,76
Other or unknown vehicle drivers,Female,40-49,All collisions,74,68,79,70,54,65,69,54,53,64
Other or unknown vehicle drivers,Female,50-59,All collisions,47,38,62,38,59,54,61,44,57,55
Other or unknown vehicle drivers,Female,60-69,All collisions,37,38,27,39,38,41,39,36,21,25
Other or unknown vehicle drivers,Female,70 and over,All collisions,62,65,72,64,59,53,56,41,24,40
Other or unknown vehicle drivers,Female,All ages,All collisions,412,373,372,346,388,396,411,320,355,552
All drivers and riders,Female,Under 16,All collisions,405,324,308,276,286,291,239,253,248,312
All drivers and riders,Female,16,All collisions,140,109,124,116,120,87,68,76,73,60
All drivers and riders,Female,17-20,All collisions,"6,600","5,722","5,512","4,936","4,885","4,306","3,977","3,668","2,740","2,652"
All drivers and riders,Female,21-24,All collisions,"8,281","7,538","7,738","7,227","6,918","6,091","5,355","5,095","3,903","4,331"
All drivers and riders,Female,25-29,All collisions,"9,081","8,541","9,212","9,002","8,808","8,231","7,759","7,161","5,277","5,664"
All drivers and riders,Female,30-39,All collisions,"15,843","15,056","15,888","15,128","14,862","14,117","13,558","13,065","9,361","10,832"
All drivers and riders,Female,40-49,All collisions,"15,536","14,413","15,058","13,992","13,111","12,104","10,962","10,140","7,237","8,259"
All drivers and riders,Female,50-59,All collisions,"9,750","9,305","10,497","9,812","9,773","9,415","9,061","8,699","6,288","6,917"
All drivers and riders,Female,60-69,All collisions,"5,019","4,849","5,148","4,789","4,850","4,430","4,392","4,356","2,874","3,474"
All drivers and riders,Female,70 and over,All collisions,"3,497","3,603","3,945","3,754","3,841","3,926","3,841","3,789","2,387","2,816"
All drivers and riders,Female,All ages,All collisions,"77,139","72,347","76,477","72,046","70,115","65,127","61,233","58,384","41,820","46,977"
Pedal cyclists,Male,Under 16,All collisions,"1,811","1,640","1,718","1,658","1,705","1,937","1,724","1,768","1,446","1,398"
Pedal cyclists,Male,16,All collisions,300,305,351,296,324,320,279,269,236,249
Pedal cyclists,Male,17-20,All collisions,"1,252","1,191","1,242","1,003","1,015","1,015",927,805,785,"1,080"
Pedal cyclists,Male,21-24,All collisions,"1,340","1,366","1,441","1,224","1,116","1,137",965,926,871,972
Pedal cyclists,Male,25-29,All collisions,"1,695","1,853","2,008","1,724","1,674","1,599","1,503","1,416","1,411","1,410"
Pedal cyclists,Male,30-39,All collisions,"3,337","3,491","3,745","3,225","3,107","2,965","2,924","2,780","2,531","2,610"
Pedal cyclists,Male,40-49,All collisions,"3,073","3,220","3,539","3,135","2,884","2,754","2,551","2,444","2,221","2,061"
Pedal cyclists,Male,50-59,All collisions,"1,628","1,721","2,040","2,006","2,005","2,015","2,014","1,918","2,065","1,979"
Pedal cyclists,Male,60-69,All collisions,656,655,788,651,740,768,798,736,927,906
Pedal cyclists,Male,70 and over,All collisions,315,318,324,326,352,386,379,375,456,420
Pedal cyclists,Male,All ages,All collisions,"15,892","16,216","17,658","15,688","15,333","15,235","14,462","13,832","13,314","13,472"
Motorcycle riders,Male,Under 16,All collisions,35,44,34,48,50,64,67,62,47,75
Motorcycle riders,Male,16,All collisions,896,681,612,533,489,487,353,335,298,255
Motorcycle riders,Male,17-20,All collisions,"3,538","3,313","3,465","3,311","3,016","2,699","2,353","2,248","1,802","2,403"
Motorcycle riders,Male,21-24,All collisions,"2,259","2,454","2,717","2,842","2,803","2,443","2,041","1,911","1,558","1,811"
Motorcycle riders,Male,25-29,All collisions,"2,087","2,147","2,571","2,711","2,698","2,677","2,433","2,392","2,090","2,237"
Motorcycle riders,Male,30-39,All collisions,"3,107","2,942","3,369","3,240","3,342","3,330","3,344","3,293","3,072","3,513"
Motorcycle riders,Male,40-49,All collisions,"3,171","3,002","3,057","2,817","2,612","2,313","2,239","2,081","1,631","1,860"
Motorcycle riders,Male,50-59,All collisions,"1,965","1,971","2,233","2,208","2,180","2,122","2,086","1,968","1,522","1,780"
Motorcycle riders,Male,60-69,All collisions,689,699,792,756,758,755,779,809,658,766
Motorcycle riders,Male,70 and over,All collisions,160,157,206,227,205,233,236,249,218,258
Motorcycle riders,Male,All ages,All collisions,"18,353","17,838","19,489","19,211","18,600","17,431","16,209","15,631","13,128","15,187"
Car drivers,Male,Under 16,All collisions,13,21,22,25,19,20,31,20,25,24
Car drivers,Male,16,All collisions,47,33,41,57,49,86,50,48,46,44
Car drivers,Male,17-20,All collisions,"8,621","7,329","7,772","7,699","7,354","6,867","6,086","5,890","4,496","4,507"
